sentence_id,sentence,target,category,polarity,category_polarity,entailed,start,end
booking_full_291743:0,Beautiful place .,beautiful place,experience,positive,experience positive,yes,0,0
booking_full_291743:1,Crazy loud .,crazy loud,experience,negative,experience negative,yes,0,0
booking_full_291743:2,Every day whole day listening to karaoke from houses around .,every day whole day listening to karaoke from houses around,experience,negative,experience negative,yes,0,0
booking_full_291743:3,the karaoke around .,the karaoke around,amenity,negative,amenity negative,yes,1,4
booking_full_78469:0,Very attentive and welcoming .,very attentive and welcoming,service,positive,service positive,yes,0,0
booking_full_78469:1,We arrived very early in the morning on a sleeper bus and they kindly let us check in and sleep .,we arrived very early in the morning on a sleeper bus and they kindly let us check in and sleep,service,positive,service positive,yes,0,0
booking_full_78469:2,comfortable and clean .,comfortable and clean,facility,positive,facility positive,yes,1,4
booking_full_78469:3,Lovely homestay .,lovely homestay,branding,positive,branding positive,yes,0,0
booking_full_78469:4,100 % recommend .,100 % recommend,loyalty,positive,loyalty positive,yes,1,4
booking_full_78469:5,Only negative was the laundry .,only negative was the laundry,amenity,negative,amenity negative,yes,0,0
booking_full_78469:6,Our clothes came back with a strange smell .,our clothes came back with a strange smell,amenity,negative,amenity negative,yes,0,0
booking_full_78469:7,Helped up book our bus to the next location securing us a very good price and helping get on .,helped up book our bus to the next location securing us a very good price and helping get on,service,positive,service positive,yes,0,0
booking_full_78469:8,Cannot thank and applaud the staff enough .,cannot thank and applaud the staff enough,service,positive,service positive,yes,0,0
booking_hcm_65571:0,Staff helpful .,staff helpful,service,positive,service positive,yes,0,0
booking_hcm_65571:1,good location .,good location,amenity,positive,amenity positive,yes,1,3
booking_hcm_65571:2,clean .,clean,facility,positive,facility positive,yes,1,2
booking_lamdong_22766:0,the room is very clean .,the room is very clean,facility,positive,facility positive,yes,1,6
booking_lamdong_22766:1,The owner and the staff are super super friendly and kind .,the owner and the staff are super super friendly and kind,experience,positive,experience positive,yes,0,0
booking_lamdong_22766:2,I checked in late around 3 PM and they still waited for us .,i checked in late around 3 pm and they still waited for us,service,positive,service positive,yes,0,0
booking_lamdong_22766:3,"even when we checked out , they called the bus provider to pick us up at the hotel .","even when we checked out , they called the bus provider to pick us up at the hotel",service,positive,service positive,yes,1,19
booking_lamdong_22766:4,Superb host .,superb host,service,positive,service positive,yes,0,0
booking_full_168647:0,very convenient as the place is in front of the beach .,very convenient as the place is in front of the beach,amenity,positive,amenity positive,yes,1,12
booking_hn_67758:0,Hosts friendly and extremely helpful .,hosts friendly and extremely helpful,service,positive,service positive,yes,0,0
booking_hn_67758:1,Hot water in shower lasted about a minute .,hot water in shower lasted about a minute,facility,negative,facility negative,yes,0,0
booking_hn_67758:2,Room quite small .,room quite small,facility,negative,facility negative,yes,0,0
booking_hn_67758:3,Central location in old town .,central location in old town,amenity,neutral,amenity neutral,yes,0,0
booking_hn_67758:4,being quiet and hidden in an alley way .,being quiet and hidden in an alley way,experience,positive,experience positive,yes,1,9
booking_hn_5753:0,The attention shown by the staff was incredible .,the attention shown by the staff was incredible,service,positive,service positive,yes,0,0
booking_hn_5753:1,Everything was taken care of with a smile .,everything was taken care of with a smile,service,positive,service positive,yes,0,0
booking_hcm_23215:0,"Nice room , clean and comfortable .","nice room , clean and comfortable",facility,positive,facility positive,yes,0,0
booking_hn_67439:0,This place only cost £13 a night for a double room so it was very cheap for Hanoi .,this place only cost £13 a night for a double room so it was very cheap for hanoi,experience,positive,experience positive,yes,0,0
booking_hn_67439:1,The man behind the desk was helpful .,the man behind the desk was helpful,service,positive,service positive,yes,0,0
booking_hn_67439:2,He came up to my room when I couldn't get the air conditioning to work .,he came up to my room when i couldn't get the air conditioning to work,service,positive,service positive,yes,0,0
booking_hn_67439:3,"He also booked me a taxi for the early hours the next morning to go to the airport , and it was cheaper than Grab .","he also booked me a taxi for the early hours the next morning to go to the airport , and it was cheaper than grab",service,positive,service positive,yes,0,0
booking_hn_67439:4,The location is really good .,the location is really good,amenity,positive,amenity positive,yes,0,0
booking_hn_67439:5,in a side street very close to the historic centre with loads of bars and restaurants on the doorstep .,in a side street very close to the historic centre with loads of bars and restaurants on the doorstep,amenity,positive,amenity positive,yes,1,20
booking_hn_67439:6,"Towels are provided as well as toothbrush , comb , shampoo and shower gel .","towels are provided as well as toothbrush , comb , shampoo and shower gel",facility,positive,facility positive,yes,0,0
booking_hn_67439:7,It didn't seem very clean .,it didn't seem very clean,facility,neutral,facility neutral,yes,0,0
booking_hn_67439:8,there were two hairs on the bed that didn't belong to me .,there were two hairs on the bed that didn't belong to me,facility,negative,facility negative,yes,1,13
booking_hn_67439:9,The light fittings on the wall were very dusty and one of them didn't work .,the light fittings on the wall were very dusty and one of them didn't work,facility,negative,facility negative,yes,0,0
booking_hn_67439:10,The bed was not very comfy .,the bed was not very comfy,facility,neutral,facility neutral,yes,0,0
booking_hn_67439:11,The air conditioning did work but the unit looked ancient and it made a lot of noise .,the air conditioning did work but the unit looked ancient and it made a lot of noise,facility,negative,facility negative,yes,0,0
booking_hn_67439:12,The bathroom is in need of replacing .,the bathroom is in need of replacing,facility,negative,facility negative,yes,0,0
booking_hn_67439:13,the tiles and taps/shower were all looking very worn/rusty .,the tiles and taps/shower were all looking very worn/rusty,facility,negative,facility negative,yes,1,10
booking_hn_67439:14,There is no lift so it is a lot of stairs to walk up with luggage .,there is no lift so it is a lot of stairs to walk up with luggage,facility,negative,facility negative,yes,0,0
booking_hcm_85027:0,"absolutely gorgeous , even better in real life .","absolutely gorgeous , even better in real life",experience,positive,experience positive,yes,1,9
booking_hcm_85027:1,all of the food at the restaurant fantastic .,all of the food at the restaurant fantastic,service,positive,service positive,yes,1,9
